"","id","account_id","date","amount","payments","loan_length","loan_status"
"1",4959,2,1994-01-05,80952,3373,"24","A"
"2",4961,19,1996-04-29,30276,2523,"12","B"
"3",4962,25,1997-12-08,30276,2523,"12","A"
"4",4967,37,1998-10-14,318480,5308,"60","D"
"5",4968,38,1998-04-19,110736,2307,"48","C"
"6",4973,67,1996-05-02,165960,6915,"24","A"
"7",4986,97,1997-08-10,102876,8573,"12","A"
"8",4988,103,1997-12-06,265320,7370,"36","D"
"9",4989,105,1998-12-05,352704,7348,"48","C"
"10",4990,110,1997-09-08,162576,4516,"36","C"
"11",4996,132,1996-11-06,88440,7370,"12","A"
"12",5002,173,1994-05-31,104808,8734,"12","A"
"13",5005,176,1997-04-10,27456,2288,"12","A"
"14",5015,226,1998-07-12,109344,9112,"12","C"
"15",5027,276,1998-12-02,160920,4470,"36","C"
"16",5032,290,1994-11-03,123696,2577,"48","A"
"17",5034,303,1998-05-30,112752,3132,"36","C"
"18",5036,309,1998-11-25,91248,1901,"48","C"
"19",5039,314,1997-05-03,66840,2785,"24","C"
"20",5041,319,1997-07-11,369000,6150,"60","C"
"21",5042,330,1998-07-12,331584,6908,"48","C"
"22",5043,339,1997-12-25,468060,7801,"60","C"
"23",5044,344,1994-12-21,100980,1683,"60","C"
"24",5045,347,1995-05-01,187224,7801,"24","B"
"25",5046,349,1998-09-09,42816,3568,"12","C"
"26",5051,378,1997-10-11,230400,3840,"60","C"
"27",5060,426,1994-07-19,252060,4201,"60","D"
"28",5061,440,1998-03-13,84288,1756,"48","C"
"29",5063,442,1997-07-10,357840,7455,"48","D"
"30",5072,472,1997-04-28,196800,8200,"24","D"
"31",5082,501,1996-10-24,262980,4383,"60","C"
"32",5086,525,1997-07-16,210384,4383,"48","C"
"33",5088,544,1996-08-22,91152,3798,"24","A"
"34",5103,666,1997-11-28,12540,1045,"12","A"
"35",5110,675,1997-04-01,102240,1704,"60","C"
"36",5117,718,1997-08-20,76944,6412,"12","A"
"37",5124,785,1998-02-12,156096,4336,"36","C"
"38",5125,789,1995-11-23,73056,1522,"48","C"
"39",5126,790,1994-07-24,208128,4336,"48","B"
"40",5128,808,1996-04-11,215616,4492,"48","D"
"41",5130,813,1994-05-11,24312,2026,"12","A"
"42",5131,816,1995-01-08,48624,2026,"24","A"
"43",5132,817,1995-02-17,538500,8975,"60","C"
"44",5134,825,1997-02-02,53076,4423,"12","A"
"45",5136,846,1996-07-28,187104,7796,"24","A"
"46",5138,854,1995-05-30,87216,1817,"48","C"
"47",5140,873,1998-02-24,178500,2975,"60","C"
"48",5145,915,1995-09-16,309552,6449,"48","C"
"49",5147,938,1998-05-21,22260,371,"60","C"
"50",5148,940,1996-05-29,284280,4738,"60","C"
"51",5151,960,1995-05-24,189060,3151,"60","C"
"52",5154,993,1998-07-01,108720,1812,"60","C"
"53",5158,1004,1998-04-11,188532,5237,"36","C"
"54",5160,1011,1995-12-18,204000,3400,"60","C"
"55",5161,1012,1994-10-28,98184,4091,"24","A"
"56",5169,1068,1998-09-24,253200,4220,"60","C"
"57",5170,1071,1994-01-20,253200,4220,"60","C"
"58",5172,1083,1998-04-16,50976,1416,"36","C"
"59",5174,1093,1997-06-13,385104,8023,"48","C"
"60",5176,1106,1994-11-12,192552,8023,"24","B"
"61",5189,1166,1994-02-07,149040,3105,"48","A"
"62",5206,1242,1997-09-07,128544,5356,"24","C"
"63",5207,1244,1997-02-28,35904,748,"48","C"
"64",5208,1247,1995-03-16,99696,2077,"48","D"
"65",5209,1250,1996-11-25,182640,3805,"48","C"
"66",5210,1252,1997-04-01,148140,4115,"36","C"
"67",5212,1256,1995-05-29,71064,1974,"36","A"
"68",5214,1270,1997-07-01,74772,2077,"36","C"
"69",5221,1284,1998-12-05,52512,4376,"12","C"
"70",5226,1318,1998-10-11,185544,5154,"36","C"
"71",5229,1329,1997-09-06,23520,1960,"12","A"
"72",5236,1374,1997-09-15,389136,8107,"48","C"
"73",5237,1375,1995-08-29,45336,1889,"24","A"
"74",5241,1389,1998-09-02,125472,5228,"24","C"
"75",5245,1407,1998-01-17,125472,5228,"24","C"
"76",5253,1447,1997-06-03,100080,2085,"48","C"
"77",5260,1480,1998-01-19,123300,3425,"36","C"
"78",5265,1498,1998-10-07,165780,2763,"60","C"
"79",5269,1527,1994-11-19,164052,4557,"36","B"
"80",5270,1528,1997-07-21,191088,3981,"48","C"
"81",5281,1580,1997-11-27,194256,8094,"24","C"
"82",5282,1583,1996-08-24,388512,8094,"48","D"
"83",5285,1603,1994-02-06,78936,6578,"12","A"
"84",5287,1638,1998-01-26,64224,2676,"24","C"
"85",5293,1656,1998-10-29,189792,3954,"48","C"
"86",5301,1698,1996-07-06,141948,3943,"36","C"
"87",5304,1718,1998-08-20,172272,7178,"24","C"
"88",5310,1762,1995-04-28,248148,6893,"36","A"
"89",5311,1766,1996-06-15,30060,501,"60","C"
